Month,BEV,PHEV,HEV,Total LDV
10-Dec,19,326,"28,592","1,144,840"
11-Jan,103,321,"19,540","819,938"
11-Feb,83,281,"23,306","993,535"
11-Mar,298,608,"34,533","1,246,668"
11-Apr,573,493,"25,602","1,157,928"
11-May,"1,150",481,"17,419","1,061,841"
11-Jun,"1,708",561,"12,655","1,053,414"
11-Jul,932,125,"19,621","1,059,730"
11-Aug,"1,363",302,"21,181","1,072,379"
11-Sep,"1,031",723,"17,625","1,053,761"
11-Oct,866,"1,108","20,057","1,021,185"
11-Nov,773,"1,139","26,110","994,786"
11-Dec,"1,212","1,529","31,100","1,243,784"
12-Jan,824,603,"21,779","913,284"
12-Feb,639,"1,023","36,222","1,149,432"
12-Mar,961,"3,200","48,206","1,404,623"
12-Apr,479,"3,116","39,901","1,184,567"
12-May,612,"2,766","37,184","1,334,642"
12-Jun,863,"2,455","34,558","1,285,499"
12-Jul,479,"2,537","31,611","1,153,759"
12-Aug,866,"3,878","38,369","1,285,292"
12-Sep,"1,306","4,503","34,836","1,188,899"
12-Oct,"2,240","4,994","33,290","1,092,294"
12-Nov,"2,614","4,544","35,002","1,143,916"
12-Dec,"2,704","4,965","43,690","1,356,070"
13-Jan,"2,372","2,354","34,611","1,043,238"
13-Feb,"2,666","2,789","40,173","1,192,299"
13-Mar,"4,553","3,079","46,327","1,453,038"
13-Apr,"4,403","2,735","42,804","1,285,446"
13-May,"4,545","3,209","48,796","1,443,311"
13-Jun,"4,573","4,169","44,924","1,403,121"
13-Jul,"3,943","3,499","45,494","1,313,844"
13-Aug,"4,956","6,407","53,020","1,501,294"
13-Sep,"3,650","4,477","33,576","1,137,206"
13-Oct,"3,733","6,367","33,570","1,206,182"
13-Nov,"3,930","4,903","36,085","1,243,852"
13-Dec,"4,770","5,020","36,155","1,358,734"
14-Jan,"2,971","2,934","27,555","1,011,187"
14-Feb,"3,324","3,721","30,561","1,192,467"
14-Mar,"4,578","4,594","43,790","1,537,270"
14-Apr,"4,187","4,718","39,430","1,391,303"
14-May,"5,802","6,651","52,227","1,609,678"
14-Jun,"4,982","6,511","39,225","1,421,963"
14-Jul,"5,693","5,740","44,488","1,435,805"
14-Aug,"6,483","5,920","48,208","1,586,374"
14-Sep,"5,983","3,357","31,385","1,245,786"
14-Oct,"5,927","3,735","30,892","1,281,132"
14-Nov,"6,176","3,609","31,109","1,302,655"
14-Dec,"7,419","3,867","33,302","1,507,928"
15-Jan,"3,977","2,113","25,312","1,152,480"
15-Feb,"4,435","2,589","27,038","1,258,570"
15-Mar,"5,715","3,020","33,654","1,545,710"
15-Apr,"6,037","2,962","32,379","1,455,242"
15-May,"7,057","4,416","40,257","1,634,952"
15-Jun,"6,975","3,409","32,330","1,476,472"
15-Jul,"5,143","3,836","35,666","1,510,941"
15-Aug,"5,224","3,786","37,633","1,577,179"
15-Sep,"6,704","3,038","32,106","1,442,113"
15-Oct,"5,740","4,081","30,485","1,455,153"
15-Nov,"6,103","4,275","25,153","1,318,210"
15-Dec,"7,954","5,483","32,387","1,641,913"
16-Jan,"3,576","3,137","20,967","1,148,087"
16-Feb,"4,424","3,909","24,371","1,343,922"
16-Mar,"7,115","5,319","28,756","1,595,065"
16-Apr,"6,266","5,842","28,988","1,506,431"
16-May,"6,526","5,619","30,573","1,535,670"
16-Jun,"7,678","6,113","27,681","1,512,996"
16-Jul,"7,762","6,525","32,633","1,521,245"
16-Aug,"8,601","6,372","32,206","1,511,405"
16-Sep,"10,032","6,037","31,286","1,434,483"
16-Oct,"5,408","5,943","26,484","1,370,721"
16-Nov,"6,266","7,858","28,497","1,378,635"
16-Dec,"13,077","10,211","34,507","1,688,368"
17-Jan,"5,398","5,669","22,630","1,142,568"
17-Feb,"5,846","6,247","28,355","1,333,128"
17-Mar,"10,171","7,384","32,012","1,554,998"
17-Apr,"5,961","7,300","30,949","1,426,883"
17-May,"8,038","8,645","33,729","1,519,793"
17-Jun,"8,814","7,787","30,073","1,474,970"
17-Jul,"7,802","7,407","29,050","1,416,743"
17-Aug,"8,850","7,668","34,850","1,484,826"
17-Sep,"13,421","7,719","37,319","1,525,522"
17-Oct,"6,792","6,665","29,451","1,356,789"
17-Nov,"8,435","8,408","30,075","1,399,640"
17-Dec,"14,959","10,289","32,187","1,605,527"
18-Jan,"9,154","6,241","21,718","1,151,011"
18-Feb,"6,653","8,783","24,609","1,293,763"
18-Mar,"11,060","11,601","28,165","1,647,090"
18-Apr,"12,794","9,931","24,827","1,353,546"
18-May,"12,232","11,403","31,602","1,586,493"
18-Jun,"12,997","10,485","31,038","1,543,716"
18-Jul,"15,387","9,269","28,203","1,362,964"
18-Aug,"20,222","10,132","30,182","1,482,215"
18-Sep,"24,163","10,777","31,985","1,432,136"
18-Oct,"29,937","9,937","28,614","1,360,281"
18-Nov,"24,089","11,580","27,453","1,382,553"
18-Dec,"28,374","13,744","29,753","1,617,778"
19-Jan,"26,942","6,010","19,153","1,133,157"
19-Feb,"10,644","6,610","22,730","1,251,513"
19-Mar,"17,281","8,074","30,926","1,598,811"
19-Apr,"20,113","5,908","33,082","1,326,555"
19-May,"18,012","7,949","44,162","1,581,479"
19-Jun,"23,421","7,999","39,247","1,509,674"
19-Jul,"23,559","7,197","36,341","1,396,460"
19-Aug,"18,864","8,433","42,830","1,638,722"
19-Sep,"21,812","5,816","29,848","1,267,150"
19-Oct,"23,072","6,388","32,457","1,333,995"
19-Nov,"11,421","7,733","32,962","1,403,153"
19-Dec,"18,681","7,674","35,706","1,512,243"
20-Jan,"26,391","5,104","27,166","1,136,560"
20-Feb,"11,151","6,111","32,309","1,350,570"
20-Mar,"18,234","3,481","23,591","989,954"
20-Apr,"8,058","2,015","14,268","715,322"
20-May,"8,626","3,911","27,740","1,119,089"
20-Jun,"16,809","4,206","41,590","1,101,169"
20-Jul,"23,075","5,228","43,738","1,236,643"
20-Aug,"17,291","6,478","42,191","1,318,070"
20-Sep,"28,101","6,670","43,293","1,341,099"
20-Oct,"29,959","7,755","47,611","1,358,922"
20-Nov,"22,225","7,369","47,724","1,199,137"
20-Dec,"28,620","10,721","63,846","1,605,497"
21-Jan,"25,103","7,463","46,843","1,106,286"
21-Feb,"26,215","9,046","54,045","1,193,776"
21-Mar,"40,755","12,261","78,123","1,597,152"
21-Apr,"33,547","18,604","76,397","1,518,415"
21-May,"29,796","20,807","82,511","1,570,313"
21-Jun,"45,913","16,648","65,960","1,302,213"
21-Jul,"42,013","15,669","74,298","1,280,803"
21-Aug,"35,499","14,067","67,976","1,092,661"
21-Sep,"42,020","12,554","60,102","1,015,935"
21-Oct,"42,485","18,275","63,482","1,051,015"
21-Nov,"46,687","14,170","59,326","1,014,411"
21-Dec,"49,441","16,553","69,983","1,203,993"
22-Jan,"42,780","11,983","63,093","991,573"
22-Feb,"46,859","12,563","58,175","1,045,624"
22-Mar,"64,160","16,200","76,683","1,257,821"
22-Apr,"52,537","17,875","71,849","1,236,432"
22-May,"52,502","15,263","68,737","1,108,063"
22-Jun,"74,262","14,838","61,039","1,143,820"
22-Jul,"64,310","13,932","59,229","1,126,523"
22-Aug,"59,836","13,797","58,869","1,134,265"
22-Sep,"69,811","13,415","55,892","1,124,297"
22-Oct,"71,739","17,603","66,661","1,181,540"
22-Nov,"69,924","16,183","57,086","1,135,484"
22-Dec,"79,262","19,759","69,099","1,268,897"
23-Jan,"72,944","15,593","60,069","1,046,919"
23-Feb,"81,158","17,789","66,320","1,138,756"
23-Mar,"92,077","21,397","94,289","1,374,992"
23-Apr,"92,880","24,165","100,528","1,357,844"
23-May,"95,898","25,125","103,832","1,363,818"
23-Jun,"102,525","22,560","100,762","1,368,713"
23-Jul,"101,234","23,194","103,757","1,299,271"
23-Aug,"96,091","27,497","107,325","1,318,588"
23-Sep,"113,383","28,807","109,228","1,340,980"
23-Oct,"92,478","21,778","103,699","1,198,162"
23-Nov,"102,323","24,530","108,549","1,235,583"
23-Dec,"121,647","41,143","117,098","1,458,853"
24-Jan,"82,336","25,086","91,929","1,070,527"
24-Feb,"74,141","27,167","105,933","1,228,996"
24-Mar,"96,743","32,728","123,870","1,432,132"
24-Apr,"99,313","26,263","118,822","1,317,481"
24-May,"107,423","26,777","139,053","1,431,081"
24-Jun,"100,242","23,631","135,609","1,308,997"
24-Jul,"113,772","22,978","134,074","1,308,243"
24-Aug,"126,681","24,914","150,630","1,430,212"
24-Sep,"103,341","19,353","127,486","1,169,397"
24-Oct,"98,873","25,646","150,683","1,331,853"
24-Nov,"114,364","29,743","160,025","1,373,493"
24-Dec,"132,468","30,687","170,935","1,494,220"
25-Jan,"92,069","19,939","132,576","1,103,027"
25-Feb,"85,867","20,944","146,846","1,216,677"
25-Mar,"117,882","35,518","193,384","1,591,072"
25-Apr,"96,150","31,003","188,865","1,464,300"
25-May,"101,857","25,452","192,226","1,462,511"
25-Jun,"93,717","19,716","153,660","1,254,418"
